Mardrus_image,Mardrus_excerpt,Mathers_image,Mathers_excerpt
"T04, n0360 - Histoire de la reine Yamlika","Ils marchaient ainsi, en s’émerveillant, et commençaient à se demander si la grotte avait une fin, quand ils arrivèrent tout à coup dans une salle immense creusée dans le diamant et qui avait en son milieu un grand lit d’or massif sur lequel était étendu Soleïmân ben-Daoud...","V02, n0360 - The tale of Yamlika","They walked on and on, marvelling all the time, and suddenly, just as they had begun to wonder whether the cave had any end, turned into a vast hall hewn from the solid diamond, having in its centre a great bed of heavy gold on which lay Sulaiman ibn Daud"
"T04, n0375 - Le parterre fleuri de l'esprit [Le jouvenceau et son maître]","Ils s’assirent donc sur la natte blanche, au clair de lune, et, l’inspiration aidant et la sérénité d’une belle nuit, ils se mi- rent à chanter et à boire, tandis que les doux rayons de l’astre les illuminaient jusqu’à l’extase.","V02, n0375 - The flowering terrace of wit [The youth and his master]","They sat down on a white mat in the moonlight and began to drink and sing together, the clear night aiding and inspiring them and the stars' soft rays lighting them on to ecstasy."
"T04, n0380 - Le parterre fleuri de l'esprit [L'âne]","Il s’approcha alors de l’homme par derrière, et, tout doucement, défit le licou de l’âne, se le passa à lui-même, sans que l’homme se fût aperçu du changement, et marcha comme une bête de somme, tandis que son compagnon s’éloignait avec l’âne mis en liberté.","V02, n0380 - The flowering terrace of wit [The ass]","He went up behind the man and, softly untying the halter from the ass, put it round his own neck, without the exchange being noticed; then he walked along like a beast of burden, while his companion made off with the ass."
"T04, n0394 - L'étrange Khalifat","...ils virent s’approcher le bateau éclairé par la lueur des torches et des flambeaux qu’alimentaient, avec du bois d’aloès, de jeunes esclaves vêtus de satin rouge, les épaules couvertes de manteaux jaunes et la tête enveloppée de mousseline blanche.","V02, n0394 - The strange Khalifah","...the boat drew near, lighted by torches and cressets, which little slaves dressed in red satin, their shoulders covered with yellow mantles, their heads turbaned with white muslin, fed, from minute to minute, with aloe-wood."
"T04, n0397 - L'étrange Khalifat","...un grand rideau au fond fut soulevé, et quatre jeunes esclaves s’avancèrent portant un trône d’or où était assise l’adolescente, avec un visage beau comme un rond de lune, et le collier au cou.","V02, n0397 - The strange Khalifah","Hardly had I reached the reception hall, when a curtain at the end of it was lifted and four young slaves came towards me, bearing a gold throne on which the girl was seated, wearing the collar on the moonlight of her neck."
"T04, n0406 - Histoire de Rose-dans-le-Calice et de Délice-du-Monde","Descends ramasser une quantité de ces courges desséchées, attache-les à ce filet, et jette le tout à la mer. Toi, ne manque point de monter dessus, et alors laisse le courant te porter vers la haute mer, et il te fera parvenir au but que tu souhaites.","V02, n0406 - The tale of Rose-in-the-Bud and World’s-Delight",Go down and fill this net with dry gourds; then throw all into the sea and climb on top; the current will bear you out and carry you to the place where you would be.
"T04, n0409 - Histoire de Rose-dans-le-Calice et de Délice-du-Monde","...au moment où la barque du pêcheur abor- dait, le roi de la ville, dont le nom était le roi Derbas, était assis avec son fils dans son palais à une fenêtre qui donnait sur la mer...","V02, n0409 - The tale of Rose-in-the-Bud and World’s-Delight","As the fisherman's boat came to ground, the King of that city, whose name was Dirbas, was sitting with his son at a window in his palace and looking out to sea."
"T04, n0414 - Histoire magique du cheval d'ébène","...il y avait dans l’antiquité du temps et le passé des époques et des âges, un roi très grand et très puissant d’entre les rois des Persans, nommé Sabour...","V02, n0414 - The magic tale of the ebony horse","...there was once, in the antiquity of time and the passage of the ages, a great and powerful King of the Persians whose name was Sabur."
"T04, n0422 - Histoire magique du cheval d'ébène","...soudain ses flancs frémirent et se gonflèrent de vent, et, plus rapidement qu’une flèche lancée dans les airs, il prit son essor en s’élevant avec son cavalier en ligne droite dans le ciel !","V02, n0422 - The magic tale of the ebony horse","Suddenly its flanks expanded with the wind and it darted straight up into the sky more quickly than an arrow, carrying its rider with it."
"T04, n0433 - Histoire des artifices de Dalila-la-Rouée","...elle vit soudain la jeune épouse de l’émir accoudée à sa fenêtre, telle une nouvelle mariée, si belle ! et brillante comme un vrai trésor de tous les bijoux dont elle était ornée, et lumineuse comme une coupole de cristal des blancs habits de neige dont elle était vêtue !","V02, n0433 - The tale of the shifts of Delilah-the-wily","...she saw the amir's young wife sitting at her window, seeming a new-married bride because of the great treasure of jewels which she wore, and shining like a dome of crystal in her white expensive clothes."
"T04, n0437 - Histoire des artifices de Dalila-la-Rouée","...la vieille le quitta et, après avoir tout chargé sur l’âne, se dirigea vers sa maison, en conduisant l’âne par le licou.","V02, n0437 - The tale of the shifts of Delilah-the-wily",...the old woman loaded all her thefts upon the ass and led it along by its halter in the direction of her house.
"T04, n0466 - Histoire de Jouder le pêcheur","...lui, pour gagner leur nourriture, se procura un filet de pêche et se mit à aller tous les jours pêcher soit dans le Nil à Boulak...","V02, n0466 - The tale of Judar the fisherman","To earn their living, he bought a fishing-net and went every day to cast it in the Nile at Bulak..."
"T04, n0470 - Histoire de Jouder le pêcheur","...Jouder monta derrière le Moghrabin sur le dos de la mule, et voyagea de la sorte depuis midi jusqu’au milieu de l’après-midi.","V02, n0470 - The tale of Judar the fisherman",...the Moor took Judar up behind him on the mule and they rode from noon until late in the day.
"T05, n0488 - Histoire d'Abou-Kir et d'Abou-Sir","...parmi les passagers et l’équipage dont le nombre s’élevait en tout à cent quarante hommes, sans compter le capitaine, il n’y avait point d’autre barbier qu’Abou-Sir...","V03, n0488 - The tale of Abu Kir and Abu Sir","Among the passengers and crew, who numbered a hundred and forty souls, there was no other barber than Abu Sir..."
"T05, n0494 - Histoire d'Abou-Kir et d'Abou-Sir","...les esclaves blancs et les noirs se précipitèrent sur le pauvre barbier, et le renversèrent et le piétinèrent ; et le teinturier lui-même se leva, prit un grand bâton et dit : « Étendez-le sur le ventre ! »","V03, n0494 - The tale of Abu Kir and Abu Sir","The white and black slaves leapt upon the unfortunate barber, threw him to the ground and trampled upon him; the dyer rose and took up a great stick, saying: 'Stretch him on his belly!'"
"T05, n0506 - Histoire d'Abdallah de la terre et d'Abdallah de la mer","...à la limite de la stupéfaction, il trouva, engagé entre les mailles du filet, un être humain, un Adamite, semblable à tous les Ibn-Adam, avec cette seule différence que son corps se terminait en queue de poisson, mais, à part cela, il avait une tête, un visage, une barbe, un tronc et des bras, tout comme un homme de la terre.","V03, n0506 - The tale of land Abdallah and sea Abdallah","...to his stupefaction, he saw a human being, a son of Adam, caught in the meshes of the net. The apparition had a head, face, beard, trunk, and arms like ordinary men, but ended in a fish's tail."
"T05, n0513 - Histoire d'Abdallah de la terre et d'Abdallah de la mer","...soudain Abdallah le Terrien, qui, toujours au bras de son ami, voyait défiler devant lui, en une course rapide sur les abîmes, tous ces spectacles splendides, aperçut une innombrable suite de cavernes d’émeraude, taillées à même les flancs d’une montagne de la même gemme verte, et aux portes desquelles étaient assises ou étendues des adolescentes belles comme des lunes, aux cheveux couleur de l’ambre et du corail.","V03, n0513 - The tale of land Abdallah and sea Abdallah","Suddenly Land Abdallah who, walking always with his arm in his friend's, watched these strange beauties defile past him, saw a long terrace of caves, cut in the flanks of a mountain of emerald. At the doors sat or stood girls, silvered like the moon, with amber coloured hair."
"T05, n0516 - Histoire du jeune homme jaune","...le khalifat dit : « Pénétrons, ô Giafar, dans cette maison pour demander l’hospitalité au maître du lieu, dans l’espoir de mieux entendre cette voix ! »","V03, n0516 - The tale of the yellow youth","Then said the Khalifah: 'Let us ask hospitality from the master of this house, and perhaps, in that way, we may get to hear the voice more clearly.'"
"T05, n0527 - Histoire de Fleur-de-Grenade et de Sourire-de-Lune","...la ville capitale où régnait le roi Schahramân se trouvait en effet, située sur le bord de la mer, et son nom était la Ville-Blanche. Et c’est ainsi que les femmes du palais purent conduire, après le bain, l’adolescente étrangère dans un pavillon qui regardait la mer.","V03, n0527 - The tale of Pomegranate-Flower and Badr Basim","...the capital of King Shahriman, which was called the White Town, stood on the sea shore; and it was thus possible for the women of the palace to give the stranger a pavilion overlooking the waters."
"T05, n0541 - Histoire de Fleur-de-Grenade et de Sourire-de-Lune","...ému à l’extrême, il sauta sur ses pieds et, se tenant debout au-dessous de l’arbre, il leva les yeux vers l’adolescente et lui dit : « Ô but suprême de tout désir, qui es-tu et pour quel motif te trouves-tu dans cette île, au haut de cet arbre ? »","V03, n0541 - The tale of Pomegranate-Flower and Badr Basim","He leapt to his feet in great emotion and, standing below the tree, lifted his eyes to the girl and said: 'O supreme goal of all desire, who are you and why are you mounted on a tree in this island?'"
"T05, n0555 - Histoire de Khalife et du khalifat","...il courut vers le singe borgne attaché à l’arbre, et leva sur lui son fouet qu’il fit tournoyer d’abord trois fois dans l’air, en criant : « Regarde, ô visage de mauvais augure, ce qui résulte pour moi du conseil que tu m’as donné !","V03, n0555 - The tale of Khalifah the fisherman","...he ran towards the tree and, cracking his whip three times in the air, cried to his first captive: 'Look, O face of calamity, upon the result of your counsels!"
"T05, n0571 - Histoire de Khalife et du khalifat","...il prit une grosse pierre et brisa la serrure du coffre, et fit sauter du coup le couvercle ! Et il vit, étendue au-dedans, languissante et les pau- pières entrouvertes, une adolescente belle comme une houri, et brillante de pierreries.","V03, n0571 - The tale of Khalifah the fisherman","He took up a large stone and, summoning all his courage, broke the lock of the chest and pulled back the lid. Inside he saw a girl as beautiful as the huris and all shining in the little light with diamonds."
"T05, n0580 - Les aventures de Hassân Al-Bassri","Commence donc par allumer ton fourneau, mets ton creuset sur le feu et fais marcher tes soufflets ! Puis, prends ce vieux plateau de cuivre et coupe-le en petites pièces avec les ciseaux !","V03, n0580 - The adventures of Hasan of Basrah","Light your furnace, put the crucible on the fire, and use your bellows. Then cut up the old dish with your scissors."
"T05, n0596(1) - Les aventures de Hassân Al-Bassri","...Massrour les conduisit de la sorte dans le palais du khalifat, jusque devant le large trône bas où était majestueusement assise, au repos, El-Saiéda Zobéida, entourée de la foule nombreuse de ses esclaves femmes et de ses favorites...","V03, n0596(1) - The adventures of Hasan of Basrah","On arriving at the Khalifah's palace, the two women were led into the presence of Zubaidah, who sat at ease upon a broad low throne, surrounded by her women and her favourites."
"T05, n0596(2) - Les aventures de Hassân Al-Bassri","...elle fit signe à Tohfa qui s’approcha aussitôt, en rougissant, de Splendeur, et commença par toucher le pan de son voile, pour porter ensuite à ses lèvres et à son front ses doigts qui avaient frôlé l’étoffe. Puis elle l’aida à rejeter son grand voile, et lui releva elle-même son petit voile de visage.","V03, n0596(2) - The adventures of Hasan of Basrah","...she signed to Tuhfah, who went up to the stranger with a blush and began by touching the fringe of her garment. She carried the fingers which had touched it to her lips and brow, before helping Splendour to throw aside her great veil and lift the little gauze from before her face."
"T05, n0607 - Les aventures de Hassân Al-Bassri","...blanches et légères, elles descendirent dans la mer. Et l’écume se mêla à leurs chevelures libres et roulées, ou coiffées et hautes comme des tours. Et le gonflement des vagues continua le gonflement de leurs croupes vierges. Et elles étaient comme des corolles effeuillées sur les eaux.","V03, n0607 - The adventures of Hasan of Basrah","...white and lightly they went down into the sea. The foam fell like flower petals upon their hair, free and wantoning, or built high in towers above their brow; the swelling waves imitated the curves of them; they were like sea-flowers budding above the water."
"T05, n0622 - Histoire du dormeur éveillé","Tous les soirs il avait coutume d’aller se poster au bout du pont de Bagdad, et là il attendait qu’un étranger vînt à passer ; et dès qu’il en apercevait un, fût-il riche ou pauvre, jeune ou vieux, il s’avançait vers lui, souriant, et plein d’urbanité...","V03, n0622 - The tale of the sleeper wakened","It was his custom to post himself every evening at the further end of the city bridge and, when he saw a stranger approach, rich or poor, young or old, to accost him with an urbane smile..."
"T05, n0629 - Histoire du dormeur éveillé","...Aboul-Hassân finit par sortir de son assoupissement et, s’éveillant, il ouvrit les yeux. Et il se vit d’abord dans un lit magnifique dont la couverture était recouverte d’un brocart d’or rouge constellé de perles et de pierreries !","V03, n0629 - The tale of the sleeper wakened","Abu al-Hasan came out of his unconsciousness and opened his eyes. He saw a rare bed, covered with a brocade of scarlet gold starred with pearls..."
"T05, n0659 - Les amours de Zein Al-Mawassif","...ils passèrent la journée l’un près de l’autre, tantôt se reposant et tantôt mangeant et buvant et s’amusant jusqu’au soir.","V03, n0659 - The loves of Zain al-Mawasif","...the next day they stayed by each other, resting, eating and drinking in joy..."
"T05, n0663 - Les amours de Zein Al-Mawassif","...le patriarche, à la vue de ce visage de lune, sentit se rajeunir sa vieille chair morte ; et il frémit dans ses pieds, dans son dos, dans son cœur et dans sa tête.","V03, n0663 - The loves of Zain al-Mawasif","This patriarch, whose name was Danis, sat taking the air outside the door and saw the beautiful girl pass upon her camel; he felt his old dead flesh become alive; his feet shivered, his back shivered, his heart shivered, and his head shivered."
"T06, n0704 - Histoire du jeune Nour avec la franque héroïque","...pendant la nuit, elle ne manquait pas d’aller se coucher auprès de son bien-aimé Nour, et de goûter avec lui, dans la fraîcheur marine, sous le ciel nu, toutes les voluptés de l’amour.","V03, n0704 - The tale of young Nur and the warrior girl",She lay with her beloved each night beneath the naked sky and tasted all delights of him in the sea-fresh air.
"T06, n0722 - Histoire merveilleuse du miroir des vierges","...au milieu de cette salle, sous la voûte, se tenaient debout six adolescentes comme des lunes et brillantes par elles-mêmes d’un tel éclat que la salle en était tout éclairée.","V03, n0722 - The strange tale of the mirror of virgins","...in the middle, under the dome, six girls stood silent on pedestals of solid gold and shone from themselves as if they had been made of moonlight."
"T06, n0724 - Histoire merveilleuse du miroir des vierges","...ils marchèrent ainsi jusqu’à ce qu’ils fussent arrivés devant un palais entièrement construit de pierres d’émeraude, entouré d’un large fossé sur les bords duquel, d’espace en espace, étaient plantés des arbres si hauts qu’ils couvraient de leur ombrage tout le palais.","V03, n0724 - The strange tale of the mirror of virgins","They walked forward until they came to a magnificent palace built up of emeralds, surrounded by a moat, whose outer bank was planted at intervals with trees so tall that they shaded the whole building."
"T06, n0736 - Histoire d'Aladdin et de la lampe magique","...une fumée fort épaisse s’éleva qu’il se mit à détourner de côté et d’autre avec ses mains, en marmonnant des formules dans une langue tout à fait inconnue d’Aladdin.","V03, n0736 - The tale of Ala al-Din and the wonderful lamp","A thick smoke immediately rose, which he waved from side to side with his hand, muttering spells in an unknown tongue."
"T06, n0745 - Histoire d'Aladdin et de la lampe magique","...il vit arriver le cortège de la princesse, précédé par la foule des eunuques. Et il la vit elle-même au milieu de ses femmes, comme la lune au milieu des étoiles...","V03, n0745 - The tale of Ala al-Din and the wonderful lamp","...a crowd of eunuchs appeared, making way for the princess's train. Ala al-Din saw her among her women, a little moon outshining a host of stars..."
"T06, n0760 - Histoire d'Aladdin et de la lampe magique","Prends soin seulement de m’élever, au milieu de ce palais, un grand dôme de cristal construit sur des colonnes d’or massif et d’argent, alternativement...","V03, n0760 - The tale of Ala al-Din and the wonderful lamp",...I insist upon one particular: in the middle of the palace you must raise me a vast crystal dome supported by columns of alternate gold and silver...
"T06, n0774 - Histoire d’Aladdin et de la lampe magique","...ils vécurent de la vie bien heureuse, avec la bonne vieille mère d’Aladdin, et avec le sultan, père de Badrou’l-Boudour. Et ils eurent des enfants beaux comme des lunes.","V03, n0774 - The tale of Ala al-Din and the wonderful lamp","...they lived happily for many years in company with Ala al-Din's mother, that good old woman, and the aged Sultan, who was Badr al-budur's father, and had many children, each as beautiful as the moon."
"T06, n0774 - La parabole de la vraie science de la vie","...le disciple s’en retourna illuminé dans son pays, au milieu de ses amis ; et il vit clair dans la vie.","V03, n0774 - The parable of true learning","...the young man returned to his own country, as one inspired with light, one who sees clearly."
"T06, n0776 - Farizade au sourire de rose","...il égrenait de la main gauche un chapelet, tandis qu’il tenait la main droite immobile à la hauteur de son front, avec l’index levé, selon le rite, pour attester l’Unité du Très-Haut.","V03, n0776 - Farizad of the rose’s smile","With his left hand he told a chaplet of beads, while he held his right immovable at the height of his brow with the index finger raised, to attest the unity of Allah."
"T06, n0779 - Farizade au sourire de rose",...la première chose qui frappa les yeux du sultan Khosrou Schah fut la gerbe d’eau couleur d’or. Et il s’arrêta un moment à la regarder avec admiration...,"V03, n0779 - Farizad of the rose’s smile",The first marvel which struck the eyes of Khusrau Shah was the spray of Gold Water. He paused for a moment before it...
"T06, n0781 - Histoire de Kamar et de l’experte Halima","...dès qu’ils eurent franchi le seuil de leur maison et fait quelques pas dans la rue, ils se virent entourés par les allants et les venants qui s’arrêtaient sur leur passage, troublés, à l’extrême limite du trouble, par l’adolescent et par sa beauté pleine de damnation pour les âmes.","V03, n0781 - The tale of Kamar and the expert Halimah","...no sooner had they left the threshold and ventured into the street than they were surrounded by a crowd of passengers, who halted in trouble of spirit, snared by the sweet damnation of Kamar's looks."
"T06, n0792(1) - Les clefs du destin","...je fondis en larmes, et reconnus en mon âme que je n’avais rien à refuser à l’homme qui avait sauvé ma maison et ceux de ma maison. Et je pris en tremblant l’arc et la flèche, et je me dirigeai vers les rochers noirs où je voyais rouler les reptiles terrifiants. Et je ne fus pas longtemps sans découvrir celui que je cherchais...","V03, n0792(1) - The keys of destiny","...I burst into tears and, taking the bow and arrow in my trembling hands, walked towards the black rocks, in and out of which serpents of the same colour writhed in terrifying knots. It was not long before I found my prey..."
"T06, n0792(2) - Les clefs du destin","...nous traversâmes des rues bordées de palais à colonnades, d’albâtre et des jardins où l’air respiré était de lait et les ruisseaux d’eaux embaumées.","V03, n0792(2) - The keys of destiny","We passed through streets bordered by palaces with colonnades of alabaster, and by gardens where the air was milk and the streams ran flower-water."
"T06, n0811 - Histoire de la princesse Nourennahar","...avant qu’il eût le temps d’admirer l’architecture de ce palais, une dame en sortit qui s’avança vers lui, entourée d’une troupe d’autres dames, et dont, à n’en pas douter, elle était la maîtresse, à en juger seulement par sa beauté miraculeuse et son port majestueux.","V03, n0811 - The tale of princess Nur al-Nihar","As he looked, a lady came out of the palace followed by a group of damsels, and he was sure, from her queenly carriage and perfect beauty, that she was the mistress and those the slaves."
"T07, n0825 - Le trésor sans fond","...un bassin d’albâtre blanc, de cent pieds de circonférence, se voyait au milieu de cette salle, plein de pièces d’or et de tous les joyaux que peut rêver le cerveau le plus exalté.","V04, n0825 - The tale of the unending treasure","...he saw a pond of white alabaster, one hundred feet in circumference, which was filled entirely with gold pieces."
"T07, n0833 - Histoire compliquée de l’adultérin sympathique [Histoire du singe jouvenceau]","...un nombre infini de flambeaux, portés par des mains sans propriétaires, passèrent de la sorte deux à deux devant moi. Et enfin je vis, entouré d’un grand nombre de lumières, un roi sur son trône, revêtu de splendeur.","V04, n0833 - The adventures of the royal bastard [The tale of the ape youth]","...I beheld a great number of torches, which seemed to be borne along in the distance; but the hands which carried them and the folk they lighted were invisible. Soon, where the torches were the thickest, I saw a King borne by on his throne."
"T07, n0840 - Histoire compliquée de l’adultérin sympathique [Histoire du deuxième fou]","...ils étaient tous là, les conducteurs de singes avec leurs animaux, les montreurs d’ours avec leurs plus beaux sujets, les bouffons avec leurs oripeaux, les charlatans avec leurs hauts bonnets de feutre, et les instrumentistes avec leurs bruyants instruments dont s’exhalait un immense hourvari.","V04, n0840 - The adventures of the royal bastard [The second madman’s tale]","Ape leaders led their apes, bear masters showed their bears, buffoons twirled their tinsel, quacks cocked their high felt bonnets, singers of lewd songs sang their lewd songs, and players upon instruments played upon their instruments, altogether and all out of tune."
"T07, n0842 - Histoire compliquée de l’adultérin sympathique [Histoire du deuxième fou]","...« Ô fille de l’oncle, je t’amène ton époux, cet excellent gaillard que je nomme à l’instant mon second chambellan, et qui sera désormais mon commensal et mon compagnon de coupe.","V04, n0842 - The adventures of the royal bastard [The second madman’s tale]","'Child of my uncle,' he said, 'I bring you your husband, whom I have appointed my second chamberlain, my friend and cup-companion..."
"T07, n0849 - La malice des épouses [Histoire racontée par le marchand de légumes]","...il y avait un homme qui était astronome, de son métier, et qui savait lire sur les visages et deviner les pensées par la physionomie. Et cet astronome avait une épouse qui était d’une insigne beauté et d’un charme singulier.","V04, n0849 - The perfidy of wives [The greengrocer’s tale]",...there was once a great astronomer who was also deeply learned in the reading of faces and the divining of hidden thoughts. He had a very beautiful wife...
"T07, n0851 - Histoire d'Ali Baba et des quarante voleurs","...il put, ainsi posté et caché entre les branches, examiner quelle pouvait bien être l’affaire. Or, il fit bien ! Car il était à peine là, qu’il aperçut une troupe de cavaliers armés terriblement qui, d’un bon train, s’avançaient du côté où il se trouvait.","V04, n0851 - The tale of Ali Baba and the forty thieves","He had done well to hide himself, for soon a troop of armed riders came towards the tree..."
"T07, n0855 - Histoire d'Ali Baba et des quarante voleurs","Si donc, dans ce malheur sans remède qui t’atteint, quelque chose est encore capable de te consoler, je t’offre de joindre les biens qu’Allah m’a envoyés à ceux qui t’appartiennent, et à te faire entrer désormais dans ma maison en qualité de seconde épouse.","V04, n0855 - The tale of Ali Baba and the forty thieves","...if it would be any consolation to you in your great grief to accept your share of what I have and to remain in this house as my second wife, you are very welcome."
"T07, n0859 - Histoire d'Ali Baba et des quarante voleurs","Et elle dansa tous les pas, inlassable, et esquissa toutes les figures, comme jamais ne l’avait fait, dans les palais des rois, une danseuse de profession. Et elle dansa comme seul peut-être, devant Saül noir de tristesse, avait dansé le berger David.","V04, n0859 - The tale of Ali Baba and the forty thieves","She danced tirelessly and with all perfection, as the shepherd David danced before the black sadness of Saul."
"T07, n0860 - Les rencontres d’Al-Rachid","...ils virent s’avancer sur le pont un magnifique cortège, comme n’en peuvent d’ordinaire déployer que les rois et les sultans.","V04, n0860 - The meetings of Al-Rashid","...they saw a magnificent procession coming towards them, such as might be supposed only to attend upon kings."
"T07, n0863 - Les rencontres d’Al-Rachid [Histoire du jeune homme]","...elle laissa derrière elle le premier cimetière, dont les tombes étaient excessivement anciennes, et se hâta vers celui où l’on continuait à enterrer journellement.","V04, n0863 - The meetings of Al-Rashid [The youth]","The first cemetery, whose tombs are very old, she left behind her, and hastened to the one used for daily burial."
"T07, n0873 - Les rencontres d’Al-Rachid [Histoire du cheikh]",...le portier leur fit traverser une forêt d’orangers et de citronniers chargés de fruits et dont les racines se rafraîchissaient à une eau vive qui coulait perpétuellement dans une rigole prenant sa source à la rivière.,"V04, n0873 - The meetings of Al-Rashid [The generous sheikh]","The porter led them through a forest of orange and lemon trees, whose roots were refreshed by living water seeping through little channels from the river..."
"T07, n0875 - Les rencontres d'Al-Rachid [Histoire de l'aveugle]","...là-dedans, des monceaux s’étendaient d’or monnayé et de pierreries, comme ces tas de sel qu’on voit sur le bord de la mer.","V04, n0875 - The meetings of Al-Rashid [The blind man]","Within were hummocks of coined gold and bright jewels, massed as one sees salt upon the sea shore."
"T07, n0881 - Histoire de la princesse Suleika","...il sourit, à ces paroles, et, sautant à terre, il attacha son cheval par la bride, près de l’œil d’eau, s’approcha de moi et, soudain, m’entoura de ses bras et me baisa avec une ardeur singulière.","V04, n0881 - The tale of princess Zulaikah","The youth smiled and leapt to the ground. He fastened his horse by the bridle near the pool and then, suddenly throwing his arms round my neck, kissed me with singular ardour."
"T07, n0882 - Les séances charmantes de l'adolescence nonchalante [Le jeune garçon à la tête dure]","...l’oiseau chatouillé fit un soubresaut de travers, tant la chose lui fut désagréable, et lâcha ce qu’il tenait, à savoir le frère et la sœur. Et ils tombèrent dans la mer.","V04, n0882 - Sweet tales of careless youth [Hard-head]",The sensitive bird turned a somersault in the air and instinctively loosed his grip upon the captives. The two children fell into the sea...
"T07, n0884 - Les séances charmantes de l'adolescence nonchalante [Histoire du bouc avec la fille du roi]","...le bouc embrassa la terre entre les mains de son épouse, et, se secouant soudain, il rejeta sa peau de bouc et se changea en un adolescent beau comme l’ange Harout.","V04, n0884 - Sweet tales of careless youth [The he-goat and the king's daughter]","...he kissed the earth between his wife's hand and with a sudden shake threw aside his skin, to appear as a youth more handsome than the angel Harut."
"T07, n0902 - Histoire du livre magique","...au bout de vingt jours de marche, on arriva à la ville de Koufa ; et on continua ainsi le voyage jusqu’à ce qu’on atteignît Bagdad. Et Attaf vit une cité de fortes constructions, et élégante, et riche en palais magnifiques qui montaient dans le ciel, et en délectables jardins...","V04, n0902 - The tale of the magic book","...in twenty days he reached Kufah and, not long afterwards, came in safety to the City of Peace. He found it rich in towering palaces and delectable gardens..."
"T08, n0905 - Histoire splendide du prince Diamant","...voici qu’à l’abri d’un très vieil arbre, dont les racines devaient plonger jusqu’aux portes intérieures de la terre, il vit un trône solitaire. Et sur ce trône était assis un vieux roi, la tête couronnée de la couronne royale et les pieds nus, qui réfléchissait.","V04, n0905 - The splendid tale of prince Diamond","...he noticed a lonely throne shaded by a very old tree whose roots must have reached to the innermost doors of earth. Upon this throne sat an aged King with a crown upon his head, and naked feet, who looked before him, wrapped in contemplation."
"T08, n0908 - Histoire splendide du prince Diamant","...l’air de ce jardin était si excellent que les branches des arbres se balançaient comme des gens ivres. Et au-dessous des arbres paissaient de grands daims, qui portaient, attachés à leurs cornes, des ornements d’or garnis de pierreries...","V04, n0908 - The splendid tale of prince Diamond",The air of the place was such that the trees wavered and balanced as if they had drunken wine; in and out among them walked great deer with ornaments of jewelled gold hung about their horns...
"T08, n0924 - Quelques sottises et théories du maître des devises et des ris","...Si-Goha fit apporter toute la mousseline disponible dans les souks, et s’en fabriqua un turban de la grandeur d’une roue de char. Puis il monta sur son âne...","V04, n0924 - Some jests and suggestions of the master of shifts and laughter",He sent at once for all the muslin in all the shops of that place and rolled a turban as great as a chariot wheel about his head. Then he mounted his ass...
"T08, n0930 - Histoire de la jouvencelle Chef-d’oeuvre-des-Coeurs","...elle se vit dans une vaste prairie, si pleine de fleurs et de fraîcheur qu’on croyait voir une robe légère peinte de belles couleurs. Et au milieu de cette prairie s’élevait un palais...","V04, n0930 - The tale of the girl Heart’s-Miracle","...she saw that they were traversing a vast meadowland, so filled with flowers that it appeared like a garment of painted silk below them. In the middle of this meadowland rose a palace..."
"T08, n0936 - Histoire de la jouvencelle Chef-d’oeuvre-des-Coeurs","...au bout d’un moment, il prit du cœur, et, appuyant sur la porte qui céda, il entra disant : « Bismillah ! Confondu soit le Malin ! Je me réfugie en Allah contre les maléfices ! »","V04, n0936 - The tale of the girl Heart’s-Miracle","Al-Rashid heard the singing and playing of his mistress; for a full minute he fumbled with the key in the lock, and then hurled himself into the room, calling to Allah against the wiles of the Devil."
"T08, n0938 - Histoire de Baïbars [Histoire racontée par le premier capitaine]","...le kâdi lui-même, appuyé sur les épaules de deux esclaves nègres, apparut à l’entrée. Et, après les salams de part et d’autre, je lui racontai l’affaire et lui soumis le cas, tandis que l’adolescente se tenait debout, soigneusement enveloppée de ses voiles.","V04, n0938 - The tale of Al-Malik Baibars [The first captain’s tale]","...the judge appeared in person, leaning upon the shoulders of two black slaves. After greeting, I explained the affair to the old man, while the girl stood meekly to one side, with her veils drawn close about her."
"T08, n0941 - Histoire de Baïbars [Histoire racontée par le troisième capitaine]","...voici qu’un tapis magnifique s’étendit et se développa le long de la salle, dans tous les sens, dont il ne se trouvait pas le pareil dans le palais.","V04, n0941 - The tale of Al-Malik Baibars [The third captain’s tale]",...lo! a magnificent carpet began to stretch out from the nail and had soon covered the whole space of the floor with a fabric of unequalled beauty.
"T08, n0942 - Histoire de Baïbars [Histoire racontée par le quatrième capitaine]","...la princesse de la Terre Verte sortit de la dahabieh, et marcha sur les tapis de soie, habillée de vert, et se balançant à ravir les esprits.","V04, n0942 - The tale of Al-Malik Baibars [The fourth captain’s tale]","...the princess of Green Country came down, clothed all in green, out of the gold boat, and walked, with gentle balancing, over the green silk carpets..."
"T08, n0948 - Histoire de Baïbars [Histoire racontée par le sixième capitaine]",...elle la fit monter sur ses épaules et la porta sur le rivage de la mer d’Émeraude.,"V04, n0948 - The tale of Al-Malik Baibars [The sixth captain’s tale]",The Jinniyah took up Dalal upon her shoulders and carried her to the shores of the Emerald Sea...
